Member_number,Date,itemDescription
1808,21-07-2015,A Blooming Hill 2008 Mingle
2552,05-01-2015,A Blooming Hill 2008 Pinot Noir
2300,19-09-2015,A Blooming Hill 2009 Chardonnay
1187,12-12-2015,A Blooming Hill 2009 Pinot Gris
3037,01-02-2015,A Blooming Hill 2008 Pinot Noir
4941,14-02-2015,A Blooming Hill 2009 Pinot Noir
4501,08-05-2015,A Blooming Hill 2009 Pinot Gris
3803,23-12-2015,A Grower's Touch Cabernet Sauvignon
2762,20-03-2015,A Blooming Hill 2008 Pinot Noir
4119,12-02-2015,A Blooming Hill 2008 Mingle
1340,24-02-2015,A Grower's Touch Chadronnay
2193,14-04-2015,A Grower's Touch Durif
1997,21-07-2015,A Grower's Touch Semillon
4546,03-09-2015,A Gust of Sun (except 2010 Niagara)
4736,21-07-2015,A Gust of Sun 2010 Niagara
1959,30-03-2015,A Portela Mencía
1974,03-05-2015,A to Z Wine
2421,02-09-2015,A&D Casa Do Arrabalde
1513,03-08-2015,A&D Liv
1905,07-07-2015,A Blooming Hill 2009 Pinot Gris
2810,08-09-2015,A&D Liv Rosé
2867,12-11-2015,A Blooming Hill 2008 Pinot Noir
3962,18-09-2015,A Blooming Hill 2008 Mingle
1088,30-11-2015,A Blooming Hill 2008 Mingle
4976,17-07-2015,A&D Monólogo Arinto P24
4056,12-06-2015,A&D Monólogo Avesso P67
3611,13-02-2015,A&D Monólogo Avesso P67 Essência
1420,14-01-2015,A Blooming Hill 2009 Pinot Gris
4286,08-03-2015,A&D Monólogo Chardonnay P706
4918,27-01-2015,A&D Monólogo Avesso P67
4783,22-10-2015,A&D Monólogo Malvasia Fina P70
3709,26-10-2015,A&D Monólogo Sauvignon Blanc P704
4289,08-10-2015,A&D Quinta Dos Espinhosos
1559,03-10-2015,A Grower's Touch Durif
2900,11-04-2015,A&D Singular
1905,21-02-2015,A Portela Mencía
3527,29-09-2015,AA Badenhorst Family Wines
1495,09-01-2015,A&D Monólogo Sauvignon Blanc P704
3558,03-04-2015,A Grower's Touch Chadronnay
3128,20-04-2015,A&D Monólogo Avesso P67 Essência
1863,04-08-2015,A Blooming Hill 2008 Mingle
3841,19-07-2015,Aalto Wines
3903,06-10-2015,AA Badenhorst Family Wines
2658,16-10-2015,A&D Liv Rosé
4272,06-06-2015,Abacela Wines
1120,26-09-2015,A&D Singular
2676,15-08-2015,A Blooming Hill 2009 Pinot Noir
1697,21-05-2015,Abbazia Prosecco Spumante
2507,25-08-2015,A&D Monólogo Sauvignon Blanc P704
4620,11-03-2015,A&D Monólogo Avesso P67 Essência
3365,01-02-2015,AA Badenhorst Family Wines
2978,05-06-2015,Abel Charlot Brut NV
2910,28-07-2015,Acacia Wine
1061,05-09-2015,A Blooming Hill 2008 Pinot Noir
3276,03-04-2015,A Blooming Hill 2008 Pinot Noir
1326,19-06-2015,A to Z Wine
3023,28-07-2015,A Blooming Hill 2009 Pinot Noir
2185,11-10-2015,Abel Charlot Brut NV
3552,16-06-2015,A Blooming Hill 2009 Pinot Noir
1967,20-01-2015,A Blooming Hill 2009 Pinot Gris
4708,20-03-2015,A&D Monólogo Avesso P67 Essência
2874,15-02-2015,A&D Monólogo Avesso P67 Essência
4177,13-04-2015,A Grower's Touch Semillon
1663,07-02-2015,A Blooming Hill 2009 Pinot Noir
2632,02-03-2015,A Blooming Hill 2008 Pinot Noir
1377,14-03-2015,Academy Culinary Wine
4162,22-12-2015,Aces 2007 Pocket Aces Cabernet Sauvignon Reserve
2270,01-07-2015,A&D Monólogo Avesso P67 Essência
4829,03-11-2015,A Blooming Hill 2008 Mingle
3811,14-04-2015,Aces 2007 Pocket Aces Cabernet Sauvignon Reserve
4766,29-09-2015,A Blooming Hill 2008 Pinot Noir
2436,12-04-2015,A Grower's Touch Semillon
3860,05-05-2015,A Blooming Hill 2008 Pinot Noir
4875,12-05-2015,Aces 2007 Pocket Aces Reserve
1587,01-07-2015,A Blooming Hill 2009 Pinot Gris
4038,08-07-2015,A Grower's Touch Chadronnay
4750,21-09-2015,Aces 2007 Pocket Kings Red Wine
1199,10-12-2015,Aces 2009 Pocket Kings Red Wine
1603,30-09-2015,Aces 2009 Seven Deuce Red
3111,31-01-2015,A&D Casa Do Arrabalde
3894,13-12-2015,A&D Monólogo Sauvignon Blanc P704
1456,18-09-2015,A&D Monólogo Sauvignon Blanc P704
2022,04-03-2015,Aces 2010 Flush Bush
2505,30-11-2015,A&D Monólogo Arinto P24
4851,20-12-2015,A&D Monólogo Avesso P67 Essência
4293,04-08-2015,Abacela Wines
2775,06-11-2015,A&D Quinta Dos Espinhosos
3693,18-02-2015,Aalto Wines
1202,22-07-2015,Aces 2010 Seven Deuce White
3699,23-08-2015,Aalto Wines
4152,15-04-2015,A Portela Mencía
4155,26-01-2015,A Grower's Touch Chadronnay
4010,29-12-2015,A&D Quinta Dos Espinhosos
4389,20-10-2015,Aceviño Reds
3746,17-08-2015,Aceviño Rosé
2560,17-05-2015,A&D Monólogo Avesso P67 Essência
1503,25-07-2015,A Gust of Sun (except 2010 Niagara)
2555,23-12-2015,A Blooming Hill 2008 Pinot Noir
3645,12-12-2015,A Grower's Touch Chadronnay
3886,11-09-2015,Aces 2010 Seven Deuce White
2932,20-03-2015,A&D Monólogo Avesso P67 Essência
1711,18-06-2015,A Grower's Touch Semillon
4291,08-12-2015,A&D Monólogo Avesso P67 Essência
1143,25-04-2015,Aces 2010 Seven Deuce White
4564,08-07-2015,A Blooming Hill 2009 Pinot Noir
3337,14-05-2015,A Grower's Touch Durif
4931,04-05-2015,A Blooming Hill 2008 Pinot Noir
2623,10-10-2015,Aceviño Whites
4581,03-04-2015,A Blooming Hill 2008 Mingle
2635,11-06-2015,A Grower's Touch Semillon
1095,30-10-2015,A to Z Wine
2990,23-05-2015,A Blooming Hill 2008 Pinot Noir
2426,05-06-2015,Aalto Wines
4555,07-11-2015,A Grower's Touch Chadronnay
3635,04-09-2015,A Blooming Hill 2008 Mingle
3058,18-05-2015,A&D Monólogo Malvasia Fina P70
4391,26-03-2015,A&D Monólogo Malvasia Fina P70
1306,23-06-2015,A Blooming Hill 2008 Pinot Noir
1024,10-08-2015,AchA Bianca 2013
1295,23-07-2015,A Grower's Touch Semillon
1661,01-06-2015,A to Z Wine
4591,15-05-2015,A&D Singular
3169,14-06-2015,A Blooming Hill 2009 Pinot Gris
3915,21-05-2015,Abbazia Prosecco Spumante
1127,14-01-2015,A Grower's Touch Semillon
4828,08-08-2015,AchA Red 2009
3683,10-06-2015,A&D Liv
1971,18-09-2015,A&D Monólogo Avesso P67 Essência
3014,11-11-2015,Academy Culinary Wine
3779,15-09-2015,A Grower's Touch Semillon
2489,04-05-2015,A Blooming Hill 2008 Pinot Noir
3564,27-06-2015,Achard-Vincent
4092,30-09-2015,Aalto Wines
3221,13-01-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1279,06-09-2015,A Blooming Hill 2008 Mingle
2581,22-08-2015,Aces 2010 Seven Deuce White
2295,25-02-2015,A Blooming Hill 2009 Pinot Noir
4760,22-02-2015,AA Badenhorst Family Wines
3649,16-01-2015,AA Badenhorst Family Wines
1075,19-11-2015,A Grower's Touch Semillon
3987,19-08-2015,A Blooming Hill 2009 Pinot Gris
4106,25-08-2015,A Blooming Hill 2008 Pinot Noir
4338,24-06-2015,A Blooming Hill 2008 Pinot Noir
4166,06-11-2015,A Grower's Touch Chadronnay
1211,10-03-2015,A Grower's Touch Semillon
3954,21-01-2015,A Grower's Touch Semillon
3928,18-07-2015,A&D Liv Rosé
3827,30-09-2015,A&D Monólogo Malvasia Fina P70
4699,08-02-2015,Ad Hoc 'Cruel Mistress' Pinot Noir
4747,08-06-2015,A Blooming Hill 2009 Pinot Gris
3028,09-06-2015,A&D Monólogo Avesso P67 Essência
2851,16-03-2015,A Blooming Hill 2009 Pinot Noir
4417,25-02-2015,Aceviño Rosé
3822,07-03-2015,A&D Monólogo Sauvignon Blanc P704
2288,31-05-2015,Abacela Wines
2184,30-06-2015,Ad Hoc 'Hen and Chicken' Chardonnay
4554,27-08-2015,A Blooming Hill 2008 Pinot Noir
3361,05-03-2015,A Blooming Hill 2008 Mingle
2999,17-04-2015,A Grower's Touch Durif
2614,25-06-2015,A Blooming Hill 2008 Pinot Noir
4064,05-06-2015,A Grower's Touch Semillon
3567,04-10-2015,A Blooming Hill 2008 Mingle
2587,07-05-2015,AA Badenhorst Family Wines
3783,17-06-2015,Ad Hoc 'Middle of Everywhere' Shiraz
1923,14-02-2015,Ad Hoc 'Mixmaster' Blended Red
4835,19-02-2015,A&D Monólogo Malvasia Fina P70
1514,24-08-2015,A Blooming Hill 2008 Pinot Noir
3154,22-06-2015,Ad Hoc 'Middle of Everywhere' Shiraz
1313,25-12-2015,A Blooming Hill 2009 Pinot Gris
2794,18-07-2015,Abel Charlot Brut NV
2359,09-04-2015,A Blooming Hill 2009 Pinot Gris
2238,09-03-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3795,17-01-2015,Ad Hoc 'Mixmaster' Blended White
3724,26-11-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1152,05-03-2015,A Blooming Hill 2008 Pinot Noir
4559,16-03-2015,A Blooming Hill 2008 Pinot Noir
3922,27-02-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
1709,22-04-2015,A&D Monólogo Avesso P67 Essência
2219,17-04-2015,A Blooming Hill 2009 Pinot Gris
2206,17-10-2015,Abel Charlot Brut NV
1752,06-04-2015,A Blooming Hill 2009 Pinot Gris
3942,10-11-2015,A Blooming Hill 2009 Pinot Gris
3296,17-08-2015,Aces 2010 Seven Deuce White
2257,05-02-2015,Aces 2010 Flush Bush
4313,28-07-2015,A Grower's Touch Semillon
2001,21-08-2015,A Blooming Hill 2009 Pinot Noir
2449,08-07-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
4914,12-04-2015,A Grower's Touch Semillon
2764,24-07-2015,A Blooming Hill 2009 Pinot Gris
4187,09-05-2015,Ad Hoc 'Straw Man' Sauvignon Blanc Semillon
1392,20-04-2015,A&D Liv
3427,28-04-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1411,20-02-2015,A Grower's Touch Semillon
3390,14-11-2015,Aces 2010 Seven Deuce White
4787,01-08-2015,A Grower's Touch Durif
3310,17-01-2015,AA Badenhorst Family Wines
1782,10-10-2015,A&D Quinta Dos Espinhosos
3375,26-04-2015,A Grower's Touch Semillon
2760,07-01-2015,A&D Monólogo Avesso P67 Essência
4249,13-09-2015,AA Badenhorst Family Wines
2904,06-06-2015,Ad Hoc 'The Riddler' Sparkling Wine
4090,26-02-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3060,05-07-2015,AA Badenhorst Family Wines
3768,07-10-2015,A Blooming Hill 2008 Pinot Noir
1232,21-01-2015,A Blooming Hill 2009 Pinot Noir
1360,23-10-2015,A&D Quinta Dos Espinhosos
1107,01-10-2015,A Grower's Touch Chadronnay
2865,04-11-2015,A Grower's Touch Cabernet Sauvignon
2958,14-06-2015,A Blooming Hill 2009 Pinot Noir
2448,12-07-2015,A Gust of Sun 2010 Niagara
1222,24-09-2015,Ad Hoc 'Wall Flower' Riesling
2943,20-06-2015,A&D Monólogo Avesso P67 Essência
2270,11-08-2015,A Blooming Hill 2008 Pinot Noir
3812,21-07-2015,A&D Monólogo Avesso P67 Essência
1482,22-11-2015,Ad Hoc 'Mixmaster' Blended Red
4720,22-02-2015,Ad Hoc 'Mixmaster' Blended Red
1344,04-09-2015,A&D Monólogo Arinto P24
2397,04-10-2015,Achard-Vincent
4182,12-05-2015,Adair 2011 Landmark Red
4487,10-07-2015,A&D Monólogo Avesso P67 Essência
3467,24-12-2015,Achard-Vincent
2443,15-11-2015,A&D Monólogo Avesso P67 Essência
2749,27-01-2015,Abbazia Prosecco Spumante
4389,13-04-2015,Adair 2011 Landmark White
1674,04-12-2015,A&D Monólogo Avesso P67 Essência
4262,16-10-2015,Adair 2011 Mountain White
2082,07-04-2015,A Grower's Touch Semillon
4494,06-01-2015,Adair 2012 Black Currant Kir Rouge
2460,28-09-2015,AA Badenhorst Family Wines
4509,29-11-2015,A Blooming Hill 2008 Mingle
2267,03-07-2015,Adair 2011 Mountain White
4891,05-09-2015,A Blooming Hill 2008 Pinot Noir
3962,20-09-2015,A&D Monólogo Avesso P67 Essência
4964,18-07-2015,A Grower's Touch Semillon
2914,30-11-2015,Adair 2011 Mountain White
2808,05-05-2015,A&D Monólogo Sauvignon Blanc P704
1085,15-08-2015,A&D Monólogo Sauvignon Blanc P704
3808,18-08-2015,A Blooming Hill 2008 Pinot Noir
4149,07-01-2015,A Grower's Touch Chadronnay
2331,05-06-2015,A Grower's Touch Chadronnay
4475,03-04-2015,A Blooming Hill 2009 Pinot Gris
2761,25-04-2015,A Grower's Touch Chadronnay
2620,14-12-2015,A&D Monólogo Avesso P67 Essência
3206,13-10-2015,A Grower's Touch Semillon
1226,13-04-2015,Adair Black Currant Kir
1395,07-03-2015,Adair Kir Peche
2465,07-06-2015,Acacia Wine
3572,09-07-2015,A&D Quinta Dos Espinhosos
4387,08-05-2015,A Blooming Hill 2008 Pinot Noir
1555,27-03-2015,A Blooming Hill 2009 Pinot Noir
1181,16-11-2015,A&D Monólogo Avesso P67 Essência
2814,11-05-2015,Adair 2012 Black Currant Kir Rouge
2794,16-09-2015,Adastra 2009 Proximus Merlot
2912,28-01-2015,A Blooming Hill 2009 Chardonnay
4667,12-01-2015,A&D Monólogo Sauvignon Blanc P704
2235,25-10-2015,Aces 2010 Seven Deuce White
2353,02-05-2015,Aces 2010 Seven Deuce White
3449,08-03-2015,A&D Monólogo Avesso P67 Essência
1058,10-11-2015,A&D Monólogo Sauvignon Blanc P704
1027,17-05-2015,A&D Quinta Dos Espinhosos
3302,22-05-2015,A&D Quinta Dos Espinhosos
2229,30-05-2015,A&D Casa Do Arrabalde
2188,15-08-2015,A Portela Mencía
1547,18-04-2015,Adastra 2010 Merlot
1649,30-06-2015,A&D Monólogo Arinto P24
3254,10-09-2015,A Grower's Touch Semillon
2818,07-11-2015,A Blooming Hill 2008 Mingle
2703,08-05-2015,AA Badenhorst Family Wines
3332,31-01-2015,A&D Monólogo Sauvignon Blanc P704
2473,01-07-2015,Adair 2011 Mountain White
2810,30-12-2015,A Grower's Touch Semillon
1033,22-04-2015,A Blooming Hill 2008 Mingle
4222,27-05-2015,A Blooming Hill 2008 Mingle
3679,21-09-2015,A Grower's Touch Chadronnay
2212,27-08-2015,A&D Monólogo Malvasia Fina P70
1507,22-06-2015,A Gust of Sun (except 2010 Niagara)
2870,21-01-2015,A Gust of Sun (except 2010 Niagara)
3429,26-04-2015,A Grower's Touch Semillon
4148,09-04-2015,AA Badenhorst Family Wines
2970,30-12-2015,Acacia Wine
2013,30-08-2015,A to Z Wine
3967,30-05-2015,Ad Hoc 'Cruel Mistress' Pinot Noir
2885,15-05-2015,A Grower's Touch Chadronnay
3935,02-07-2015,A&D Monólogo Avesso P67 Essência
3283,01-05-2015,A Blooming Hill 2008 Pinot Noir
3268,06-11-2015,AA Badenhorst Family Wines
3677,30-04-2015,A Grower's Touch Chadronnay
3495,27-06-2015,Adastra 2011 Ed's Red
1410,04-10-2015,A Grower's Touch Chadronnay
2440,06-06-2015,A&D Monólogo Avesso P67 Essência
4088,13-01-2015,A Gust of Sun (except 2010 Niagara)
2469,23-09-2015,A&D Monólogo Malvasia Fina P70
4229,06-03-2015,A&D Monólogo Avesso P67 Essência
2728,02-08-2015,A Grower's Touch Durif
4694,25-01-2015,A Grower's Touch Chadronnay
2836,29-12-2015,Adastra 2011 Merlot
1311,12-02-2015,Adastra 2011 Pinot Noir
1760,23-01-2015,Achard-Vincent
3656,02-03-2015,A Grower's Touch Durif
3720,28-05-2015,A&D Monólogo Avesso P67 Essência
2996,26-09-2015,A Grower's Touch Semillon
1949,22-07-2015,AA Badenhorst Family Wines
4498,11-02-2015,Ad Hoc 'Mixmaster' Blended White
2447,28-12-2015,Adastra 2012 Chardonnay
1952,23-03-2015,A Blooming Hill 2008 Mingle
4099,27-01-2015,A&D Monólogo Arinto P24
1804,12-03-2015,A Grower's Touch Durif
1510,16-05-2015,A&D Monólogo Avesso P67 Essência
2879,18-04-2015,Adastra 2012 N'Oak Chardonnay
4899,12-03-2015,A Gust of Sun (except 2010 Niagara)
4326,29-09-2015,A&D Quinta Dos Espinhosos
1670,17-05-2015,Adair 2012 Black Currant Kir Rouge
1117,24-05-2015,Adair 2011 Mountain White
1346,03-04-2015,A Blooming Hill 2009 Pinot Gris
1178,15-11-2015,A&D Monólogo Arinto P24
1649,25-06-2015,A Blooming Hill 2008 Mingle
4651,21-06-2015,Adelsheim Caitlin’s Reserve Chardonnay (all vintages)
4243,02-04-2015,A&D Monólogo Avesso P67 Essência
4429,21-07-2015,Aceviño Rosé
4645,25-07-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
4019,24-07-2015,A Blooming Hill 2009 Pinot Noir
4459,26-04-2015,A Blooming Hill 2008 Mingle
3006,27-12-2015,A Gust of Sun (except 2010 Niagara)
1834,17-09-2015,A Grower's Touch Semillon
3236,04-07-2015,Aalto Wines
1765,11-03-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
3855,09-03-2015,A Blooming Hill 2008 Mingle
4392,28-11-2015,Abel Charlot Brut NV
3330,26-07-2015,A&D Monólogo Malvasia Fina P70
1723,02-09-2015,A&D Monólogo Avesso P67
4110,30-03-2015,Aces 2010 Seven Deuce White
2600,28-01-2015,A&D Monólogo Avesso P67
