,concept:name,time:timestamp,case:concept:name
0,A,1970-04-26 18:46:40,0
1,B,1970-04-26 18:46:41,0
2,C,1970-04-26 18:46:42,0
3,A,1970-04-26 18:46:43,0
4,B,1970-04-26 18:46:44,0
5,C,1970-04-26 18:46:45,0
6,E,1970-04-26 18:46:46,0
7,A,1970-04-26 18:46:47,1
8,B,1970-04-26 18:46:48,1
9,C,1970-04-26 18:46:49,1
10,E,1970-04-26 18:46:50,1
11,A,1970-04-26 18:46:51,2
12,B,1970-04-26 18:46:52,2
13,C,1970-04-26 18:46:53,2
14,E,1970-04-26 18:46:54,2
15,A,1970-04-26 18:46:55,3
16,B,1970-04-26 18:46:56,3
17,C,1970-04-26 18:46:57,3
18,E,1970-04-26 18:46:58,3
19,A,1970-04-26 18:46:59,4
20,B,1970-04-26 18:47:00,4
21,C,1970-04-26 18:47:01,4
22,E,1970-04-26 18:47:02,4
23,A,1970-04-26 18:47:03,5
24,B,1970-04-26 18:47:04,5
25,C,1970-04-26 18:47:05,5
26,E,1970-04-26 18:47:06,5
27,A,1970-04-26 18:47:07,6
28,B,1970-04-26 18:47:08,6
29,C,1970-04-26 18:47:09,6
30,A,1970-04-26 18:47:10,6
31,B,1970-04-26 18:47:11,6
32,C,1970-04-26 18:47:12,6
33,A,1970-04-26 18:47:13,6
34,B,1970-04-26 18:47:14,6
35,C,1970-04-26 18:47:15,6
36,E,1970-04-26 18:47:16,6
37,A,1970-04-26 18:47:17,7
38,B,1970-04-26 18:47:18,7
39,C,1970-04-26 18:47:19,7
40,E,1970-04-26 18:47:20,7
41,A,1970-04-26 18:47:21,8
42,B,1970-04-26 18:47:22,8
43,C,1970-04-26 18:47:23,8
44,A,1970-04-26 18:47:24,8
45,B,1970-04-26 18:47:25,8
46,C,1970-04-26 18:47:26,8
47,A,1970-04-26 18:47:27,8
48,B,1970-04-26 18:47:28,8
49,C,1970-04-26 18:47:29,8
50,A,1970-04-26 18:47:30,8
51,B,1970-04-26 18:47:31,8
52,C,1970-04-26 18:47:32,8
53,A,1970-04-26 18:47:33,8
54,B,1970-04-26 18:47:34,8
55,C,1970-04-26 18:47:35,8
56,E,1970-04-26 18:47:36,8
57,A,1970-04-26 18:47:37,9
58,B,1970-04-26 18:47:38,9
59,C,1970-04-26 18:47:39,9
60,A,1970-04-26 18:47:40,9
61,B,1970-04-26 18:47:41,9
62,C,1970-04-26 18:47:42,9
63,A,1970-04-26 18:47:43,9
64,B,1970-04-26 18:47:44,9
65,C,1970-04-26 18:47:45,9
66,E,1970-04-26 18:47:46,9
