Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,lifecycle:transition,description,Result by Reviewer B,Result by Reviewer C,Result by Reviewer A,rejects,accepts,Result by Reviewer X
1,invite reviewers,Mike,2006-01-01 00:00:00.000,2006-01-06 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,
1,get review 2,Carol,2006-01-09 00:00:00.000,2006-01-09 00:00:00.000,Variant 5,5,complete,Simulated process instance,reject,,,,,
1,get review 3,Pam,2006-01-10 00:00:00.000,2006-01-10 00:00:00.000,Variant 5,5,complete,Simulated process instance,,reject,,,,
1,get review 1,John,2006-01-11 00:00:00.000,2006-01-11 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,reject,,,
1,collect reviews,Anne,2006-01-11 00:00:00.000,2006-01-13 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,
1,decide,Wil,2006-01-13 00:00:00.000,2006-01-18 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,3,0,
1,invite additional reviewer,Anne,2006-01-18 00:00:00.000,2006-01-20 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,
1,get review X,Pam,2006-01-23 00:00:00.000,2006-01-23 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,accept
1,decide,Wil,2006-01-24 00:00:00.000,2006-01-27 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,3,1,
1,invite additional reviewer,Mike,2006-01-27 00:00:00.000,2006-01-28 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,
1,get review X,Mary,2006-01-31 00:00:00.000,2006-01-31 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,reject
1,decide,Wil,2006-02-14 00:00:00.000,2006-02-19 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,4,1,
1,invite additional reviewer,Mike,2006-02-19 00:00:00.000,2006-02-23 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,
1,get review X,Sara,2006-02-25 00:00:00.000,2006-02-25 00:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,reject
1,decide,Wil,2006-04-08 01:00:00.000,2006-04-10 01:00:00.000,Variant 5,5,complete,Simulated process instance,,,,5,1,
1,reject,Anne,2006-04-11 01:00:00.000,2006-04-13 01:00:00.000,Variant 5,5,complete,Simulated process instance,,,,,,
1,End,End,2006-04-13 01:00:00.000,2006-04-13 01:00:00.000,Variant 5,5,End,End,End,End,End,End,End,End
10,invite reviewers,Anne,2006-02-03 00:00:00.000,2006-02-06 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,get review 2,Sara,2006-02-06 00:00:00.000,2006-02-06 00:00:00.000,Variant 6,6,complete,Simulated process instance,accept,,,,,
10,get review 3,John,2006-02-06 00:00:00.000,2006-02-06 00:00:00.000,Variant 6,6,complete,Simulated process instance,,accept,,,,
10,time-out 1,__INVALID__,2006-02-07 00:00:00.000,2006-02-07 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,collect reviews,Mike,2006-02-07 00:00:00.000,2006-02-11 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,decide,Wil,2006-03-01 00:00:00.000,2006-03-01 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,0,2,
10,invite additional reviewer,Mike,2006-03-04 00:00:00.000,2006-03-08 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,time-out X,__INVALID__,2006-03-12 00:00:00.000,2006-03-12 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,decide,Wil,2006-05-14 01:00:00.000,2006-05-17 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,0,2,
10,invite additional reviewer,Mike,2006-05-20 01:00:00.000,2006-05-23 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,time-out X,__INVALID__,2006-05-31 01:00:00.000,2006-05-31 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,decide,Wil,2006-07-27 01:00:00.000,2006-07-30 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,0,2,
10,invite additional reviewer,Anne,2006-08-08 01:00:00.000,2006-08-12 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,get review X,Pete,2006-08-14 01:00:00.000,2006-08-14 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,reject
10,decide,Wil,2006-11-18 00:00:00.000,2006-11-22 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,1,2,
10,invite additional reviewer,Anne,2007-02-02 00:00:00.000,2007-02-06 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,time-out X,__INVALID__,2007-02-10 00:00:00.000,2007-02-10 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,decide,Wil,2007-12-02 00:00:00.000,2007-12-02 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,1,2,
10,invite additional reviewer,Mike,2007-12-02 00:00:00.000,2007-12-02 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,get review X,Carol,2007-12-06 00:00:00.000,2007-12-06 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,accept
10,decide,Wil,2008-02-16 00:00:00.000,2008-02-21 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,1,3,
10,invite additional reviewer,Anne,2008-02-21 00:00:00.000,2008-02-22 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,time-out X,__INVALID__,2008-03-01 00:00:00.000,2008-03-01 00:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,decide,Wil,2009-07-15 01:00:00.000,2009-07-15 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,1,3,
10,accept,Mike,2009-07-17 01:00:00.000,2009-07-17 01:00:00.000,Variant 6,6,complete,Simulated process instance,,,,,,
10,End,End,2009-07-17 01:00:00.000,2009-07-17 01:00:00.000,Variant 6,6,End,End,End,End,End,End,End,End
100,invite reviewers,Anne,2007-03-15 00:00:00.000,2007-03-18 00:00:00.000,Variant 2,2,complete,Simulated process instance,,,,,,
100,get review 3,Pam,2007-03-19 00:00:00.000,2007-03-19 00:00:00.000,Variant 2,2,complete,Simulated process instance,,accept,,,,
100,get review 1,Sara,2007-03-21 00:00:00.000,2007-03-21 00:00:00.000,Variant 2,2,complete,Simulated process instance,,,accept,,,
100,get review 2,Pete,2007-03-22 00:00:00.000,2007-03-22 00:00:00.000,Variant 2,2,complete,Simulated process instance,reject,,,,,
100,collect reviews,Anne,2007-03-22 00:00:00.000,2007-03-25 00:00:00.000,Variant 2,2,complete,Simulated process instance,,,,,,
100,decide,Wil,2008-02-02 00:00:00.000,2008-02-03 00:00:00.000,Variant 2,2,complete,Simulated process instance,,,,1,2,
100,invite additional reviewer,Mike,2008-02-03 00:00:00.000,2008-02-05 00:00:00.000,Variant 2,2,complete,Simulated process instance,,,,,,
