Case ID;Activity;Creation Date;;Time Stamp
R5002560000039404154233;Quality Inspection;26/09/2013;09:00:00;26/09/2013 09:00
R5002560000039404154233;Create TO High Rack;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154233;Block Stock;19/10/2013;11:00:00;19/10/2013 11:00
R5002560000039404154233;Good Receipt;25/09/2013;08:00:00;25/09/2013 08:00
R5002560000039404154241;Quality Inspection;26/09/2013;09:00:00;26/09/2013 09:00
R5002560000039404154241;Create TO High Rack;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154241;Block Stock;31/10/2013;11:00:00;31/10/2013 11:00
R5002560000039404154241;Good Receipt;25/09/2013;08:00:00;25/09/2013 08:00
R5002560000039404154251;Quality Inspection;26/09/2013;09:00:00;26/09/2013 09:00
R5002560000039404154251;Create TO High Rack;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154251;Block Stock;31/10/2013;11:00:00;31/10/2013 11:00
R5002560000039404154251;Good Receipt;25/09/2013;08:00:00;25/09/2013 08:00
R5002560000039404154261;Quality Inspection;26/09/2013;09:00:00;26/09/2013 09:00
R5002560000039404154261;Create TO High Rack;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154261;Block Stock;31/10/2013;11:00:00;31/10/2013 11:00
R5002560000039404154261;Good Receipt;25/09/2013;08:00:00;25/09/2013 08:00
R5002560000039404154271;Quality Inspection;26/09/2013;09:00:00;26/09/2013 09:00
R5002560000039404154271;Create TO High Rack;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154271;Block Stock;31/10/2013;11:00:00;31/10/2013 11:00
R5002560000039404154271;Good Receipt;25/09/2013;08:00:00;25/09/2013 08:00
R500256000003940415421111;Good Receipt;25/09/2013;09:00:00;25/09/2013 09:00
R500256000003940415421111;Quality Inspection;26/09/2013;10:00:00;26/09/2013 10:00
R500256000003940415421111;Block Stock;31/10/2013;10:45:00;31/10/2013 10:45
R5002560000039404154212;Good Receipt;25/09/2013;09:00:00;25/09/2013 09:00
R5002560000039404154212;Quality Inspection;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154212;Block Stock;31/10/2013;10:45:00;31/10/2013 10:45
R5002560000039404154213;Good Receipt;25/09/2013;09:00:00;25/09/2013 09:00
R5002560000039404154213;Quality Inspection;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154213;Block Stock;31/10/2013;10:45:00;31/10/2013 10:45
R5002560000039404154214;Good Receipt;25/09/2013;09:00:00;25/09/2013 09:00
R5002560000039404154214;Quality Inspection;26/09/2013;10:00:00;26/09/2013 10:00
R5002560000039404154214;Block Stock;31/10/2013;10:45:00;31/10/2013 10:45
R500269000003536415782;Quality Inspection;01/11/2013;09:00:00;01/11/2013 09:00
R500269000003536415782;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500269000003536415782;Block Stock;23/12/2013;09:15:00;23/12/2013 09:15
R500269000003536415782;Good Receipt;31/10/2013;08:00:00;31/10/2013 08:00
R500269000003536415783;Quality Inspection;01/11/2013;09:00:00;01/11/2013 09:00
R500269000003536415783;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500269000003536415783;Block Stock;24/12/2013;09:15:00;24/12/2013 09:15
R500269000003536415783;Good Receipt;31/10/2013;08:00:00;31/10/2013 08:00
R500267000003536416031;Quality Inspection;26/11/2013;09:00:00;26/11/2013 09:00
R500267000003536416032;Quality Inspection;26/11/2013;09:00:00;26/11/2013 09:00
R500267000003536416033;Quality Inspection;26/11/2013;09:00:00;26/11/2013 09:00
R500267000003536416031;Create TO High Rack;26/11/2013;10:00:00;26/11/2013 10:00
R500267000003536416032;Create TO High Rack;26/11/2013;10:00:00;26/11/2013 10:00
R500267000003536416033;Create TO High Rack;26/11/2013;10:00:00;26/11/2013 10:00
R500267000003536416031;Create TO Antar High Rack;06/12/2013;11:00:00;06/12/2013 11:00
R500267000003536416032;Create TO Antar High Rack;06/12/2013;11:00:00;06/12/2013 11:00
R500267000003536416033;Create TO Antar High Rack;06/12/2013;11:00:00;06/12/2013 11:00
R500267000003536416031;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416032;Block Stock;13/12/2013;09:30:00;13/12/2013 09:30
R500267000003536416033;Block Stock;13/12/2013;09:30:00;13/12/2013 09:30
R500267000003536416031;Good Receipt;25/11/2013;08:00:00;25/11/2013 08:00
R500267000003536416032;Good Receipt;25/11/2013;08:00:00;25/11/2013 08:00
R500267000003536416033;Good Receipt;25/11/2013;08:00:00;25/11/2013 08:00
R500267000003536416141;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416142;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416143;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416144;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416145;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416146;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416147;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416148;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003536416141;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416142;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416143;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416144;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416145;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416146;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416147;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416148;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003536416141;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416142;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416143;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416144;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416145;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416146;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416147;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003536416148;Quality Inspection;07/12/2013;09:00:00;07/12/2013 09:00
R500267000003738416031;Quality Inspection;26/11/2013;09:00:00;26/11/2013 09:00
R500267000003738416032;Quality Inspection;26/11/2013;09:00:00;26/11/2013 09:00
R500267000003738416033;Quality Inspection;26/11/2013;09:00:00;26/11/2013 09:00
R500267000003738416031;Create TO High Rack;26/11/2013;10:00:00;26/11/2013 10:00
R500267000003738416032;Create TO High Rack;26/11/2013;10:00:00;26/11/2013 10:00
R500267000003738416033;Create TO High Rack;26/11/2013;10:00:00;26/11/2013 10:00
R500267000003738416031;Create TO Antar High Rack;26/11/2013;11:00:00;26/11/2013 11:00
R500267000003738416032;Create TO Antar High Rack;26/11/2013;11:00:00;26/11/2013 11:00
R500267000003738416033;Create TO Antar High Rack;26/11/2013;11:00:00;26/11/2013 11:00
R500267000003738416031;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416032;Block Stock;13/12/2013;09:30:00;13/12/2013 09:30
R500267000003738416033;Block Stock;13/12/2013;09:30:00;13/12/2013 09:30
R500267000003738416031;Good Receipt;25/11/2013;08:00:00;25/11/2013 08:00
R500267000003738416032;Good Receipt;25/11/2013;08:00:00;25/11/2013 08:00
R500267000003738416033;Good Receipt;25/11/2013;08:00:00;25/11/2013 08:00
R50026700000353641615;Quality Inspection;11/12/2013;09:00:00;11/12/2013 09:00
R50026700000353641615;Block Stock;11/12/2013;09:30:00;11/12/2013 09:30
R50026700000353641615;Good Receipt;09/12/2013;08:00:00;09/12/2013 08:00
R50026700000373841615;Quality Inspection;11/12/2013;09:00:00;11/12/2013 09:00
R50026700000373841615;Block Stock;11/12/2013;09:30:00;11/12/2013 09:30
R50026700000373841615;Good Receipt;09/12/2013;08:00:00;09/12/2013 08:00
R500267000003738416141;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416142;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416143;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416144;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416145;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416146;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416147;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416148;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416149;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R5002670000037384161410;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R5002670000037384161411;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R5002670000037384161412;Block Stock;07/12/2013;09:30:00;07/12/2013 09:30
R500267000003738416141;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003738416142;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
R500267000003738416143;Good Receipt;06/12/2013;08:00:00;06/12/2013 08:00
